TrackID,Cell_Type,Frames,Duration_min,Start_X_um,Start_Y_um,End_X_um,End_Y_um,Total_Distance_um,Displacement_um,CDE,Avg_Velocity_um_min,Max_Velocity_um_min,Std_Velocity_um_min,Persistence,Final_Angle_deg,Angular_Std_deg,MSD_10,MSD_20,Dataset,Sequence,Cell_Line,Color
21,Cell,73,72.0,236.0,404.0,283.0,453.0,172.99360980751845,67.89698078707183,0.3924825943722284,2.402689025104423,20.0,4.511142431903992,0.7093639595684365,46.19348942398204,40.29729526198933,236.18723718739463,618.2251707589197,DIC-C2DH-HeLa,01,HeLa,#dc3cbe
23,Cell,66,65.0,298.0,319.0,310.0,311.0,732.928902220692,14.422205101855956,0.0196774953998379,11.27582926493372,42.72001872658765,10.202807564114082,0.1212616888990526,-33.690067525979785,99.63383020331528,687.701499752752,1049.887949179065,DIC-C2DH-HeLa,01,HeLa,#dc3cbe
32,Cell,64,63.0,284.0,54.0,304.0,58.0,173.32107321424706,20.396078054371134,0.1176780046195477,2.75112814625789,25.0,5.210141997791743,0.4942350408693138,11.309932474020211,46.710647901130976,195.5,506.59090909090907,DIC-C2DH-HeLa,01,HeLa,#dc3cbe
16,Cell,62,61.0,73.0,354.0,44.0,357.0,96.28274889685198,29.154759474226505,0.3028035635486487,1.5784057196205243,17.11724276862369,3.9547165417072327,0.7383745575481676,174.0938588862295,47.4135856062502,121.03846153846152,147.73809523809524,DIC-C2DH-HeLa,01,HeLa,#dc3cbe
18,Cell,62,61.0,103.0,420.0,130.0,445.0,97.32410955544638,36.7967389859482,0.378084517331081,1.5954772058269897,18.24828759089466,3.9353830018096594,0.8629217295909922,42.797401838234194,26.56236369574845,168.5721153846154,381.1488095238095,DIC-C2DH-HeLa,01,HeLa,#dc3cbe
11,Cell,62,61.0,315.0,213.0,336.0,175.0,554.8932880870568,43.41658669218482,0.0782431282271578,9.096611280115685,31.144823004794876,9.443213138043957,0.2373454560918032,-61.0735741647464,80.82234978193576,1203.3950619383795,1600.1559181445414,DIC-C2DH-HeLa,01,HeLa,#dc3cbe
27,Cell,60,59.0,419.0,297.0,439.0,293.0,299.21905285358787,20.396078054371134,0.0681643694138395,5.071509370399794,28.30194339616981,7.17281564180837,0.2897698777179254,-11.309932474020211,63.384389010336434,221.31,283.725,DIC-C2DH-HeLa,01,HeLa,#dc3cbe
4,Cell,54,53.0,124.0,195.0,50.0,184.0,135.64959064050498,74.81310045707235,0.551517333033021,2.559426238500094,17.88854381999832,4.347662305004438,0.3233394776738763,-171.54497232282256,76.25772887468376,306.6363636363636,600.6764705882352,DIC-C2DH-HeLa,01,HeLa,#dc3cbe
3,Cell,54,53.0,200.0,200.0,196.0,176.0,108.14378959718458,24.33105012119288,0.2249879554972273,2.0404488603242377,21.93171219946131,5.528379829818239,0.7539032495556115,-99.46232220802564,32.82763846853384,77.30681818181819,77.5220588235294,DIC-C2DH-HeLa,01,HeLa,#dc3cbe
8,Cell,48,47.0,130.0,331.0,94.0,323.0,100.20020422907224,36.87817782917155,0.3680449367634288,2.1319192389164305,20.0,4.9655863720523925,0.680895332756241,-167.47119229084848,44.02946462134372,208.375,363.6517857142857,DIC-C2DH-HeLa,01,HeLa,#dc3cbe
