frame,track_id,centroid_x,centroid_y,label_at_centroid,centroid_on_own_mask
0,3,597.0,208.0,3,True
1,3,597.0,208.0,3,True
2,3,597.0,208.0,3,True
3,3,597.0,208.0,3,True
4,3,597.0,208.0,3,True
5,3,597.0,208.0,3,True
6,3,596.0,208.0,3,True
7,3,596.0,208.0,3,True
8,3,596.0,208.5,3,True
9,3,596.0,209.0,3,True
10,3,596.0,209.0,3,True
11,3,596.0,209.0,3,True
12,3,596.0,209.0,3,True
13,3,596.0,209.0,3,True
14,3,596.0,206.0,3,True
15,3,596.0,204.0,3,True
16,3,598.0,202.0,3,True
17,3,598.0,201.0,3,True
18,3,602.0,198.0,3,True
19,3,603.0,198.0,3,True
20,3,604.0,198.0,3,True
21,3,603.0,199.0,3,True
22,3,603.0,199.0,3,True
23,3,606.0,202.0,3,True
24,3,606.0,203.5,3,True
25,3,606.0,203.0,3,True
26,3,607.5,203.5,3,True
27,3,609.0,205.5,3,True
28,3,610.0,206.0,3,True
29,3,610.5,205.5,3,True
0,13,555.0,693.0,13,True
1,13,555.0,693.0,13,True
2,13,555.0,693.0,13,True
3,13,555.0,693.0,13,True
4,13,555.0,693.0,13,True
5,13,555.0,693.0,13,True
6,13,555.0,693.0,13,True
7,13,555.0,693.0,13,True
8,13,555.0,693.0,13,True
9,13,555.0,693.0,13,True
10,13,555.0,693.0,13,True
11,13,555.0,693.0,13,True
12,13,555.0,693.0,13,True
13,13,555.0,693.0,13,True
14,13,555.0,693.0,13,True
15,13,555.0,693.0,13,True
16,13,555.0,693.0,13,True
17,13,555.0,693.0,13,True
18,13,555.0,693.0,13,True
19,13,555.0,693.0,13,True
20,13,555.0,693.0,13,True
21,13,555.0,693.0,13,True
22,13,555.0,693.0,13,True
23,13,555.0,693.0,13,True
24,13,555.0,693.0,13,True
25,13,555.0,693.0,13,True
26,13,555.0,693.0,13,True
27,13,555.0,693.0,13,True
28,13,558.0,699.0,13,True
29,13,558.0,699.0,13,True
0,21,60.0,940.0,21,True
1,21,60.0,940.0,21,True
2,21,60.0,940.0,21,True
3,21,60.0,940.0,21,True
4,21,60.0,940.0,21,True
5,21,59.0,942.0,21,True
6,21,59.0,942.0,21,True
7,21,59.0,940.0,21,True
8,21,58.0,933.0,21,True
9,21,58.0,933.0,21,True
10,21,58.0,933.0,21,True
11,21,58.0,937.0,21,True
12,21,57.0,942.0,21,True
13,21,57.0,946.0,21,True
14,21,59.0,942.0,21,True
15,21,62.0,940.0,21,True
16,21,60.0,943.0,21,True
17,21,58.0,939.0,21,True
18,21,57.0,941.0,21,True
19,21,58.0,940.0,21,True
20,21,58.0,940.0,21,True
21,21,58.0,940.0,21,True
22,21,58.0,939.0,21,True
23,21,58.0,939.0,21,True
24,21,58.0,939.0,21,True
25,21,58.0,939.0,21,True
26,21,58.0,939.0,21,True
27,21,62.0,936.0,21,True
28,21,62.0,936.0,21,True
29,21,67.0,936.0,21,True
0,23,830.0,929.0,23,True
1,23,830.0,929.0,23,True
2,23,830.0,929.0,23,True
3,23,830.0,929.0,23,True
4,23,830.0,929.0,23,True
5,23,827.0,930.0,23,True
6,23,827.0,930.0,23,True
7,23,827.0,930.0,23,True
8,23,827.0,930.0,23,True
9,23,827.0,930.0,23,True
10,23,828.0,935.0,23,True
11,23,831.0,937.0,23,True
12,23,831.0,937.0,23,True
13,23,832.0,938.0,23,True
14,23,832.0,938.0,23,True
15,23,827.0,943.0,23,True
16,23,822.0,945.0,23,True
17,23,819.0,946.0,23,True
18,23,819.0,946.0,23,True
19,23,816.0,945.0,23,True
20,23,816.0,945.0,23,True
21,23,818.0,944.0,23,True
22,23,818.0,944.0,23,True
23,23,825.0,941.0,23,True
24,23,825.0,941.0,23,True
