frame,track_id,x,y,w,h,centroid_x,centroid_y,area
0,22,407,339,19,19,416.0,348.0,276.0
1,22,406,339,20,19,415.5,348.0,294.0
2,22,406,339,19,19,415.0,348.0,276.0
3,22,408,340,20,19,417.5,349.0,294.0
4,22,418,340,19,19,427.0,349.0,276.0
5,22,423,341,20,19,432.5,350.0,294.0
6,22,419,349,19,19,428.0,358.0,276.0
7,22,417,342,19,20,426.0,351.5,294.0
8,22,417,343,19,19,426.0,352.0,276.0
9,22,412,341,19,19,421.0,350.0,276.0
10,22,407,335,19,19,416.0,344.0,276.0
11,22,407,334,19,20,416.0,343.5,294.0
12,22,409,321,19,19,418.0,330.0,276.0
13,22,399,331,19,19,408.0,340.0,276.0
14,22,399,331,19,19,408.0,340.0,276.0
15,22,402,332,19,19,411.0,341.0,276.0
16,22,401,331,19,19,410.0,340.0,276.0
17,22,401,328,19,19,410.0,337.0,276.0
18,22,401,328,19,19,410.0,337.0,276.0
19,22,401,328,19,19,410.0,337.0,276.0
20,22,401,328,19,19,410.0,337.0,276.0
21,22,398,328,19,19,407.0,337.0,276.0
22,22,398,328,19,19,407.0,337.0,276.0
23,22,398,328,19,19,407.0,337.0,276.0
24,22,398,328,19,19,407.0,337.0,276.0
25,22,398,327,19,19,407.0,336.0,276.0
26,22,392,322,19,19,401.0,331.0,276.0
27,22,392,322,19,19,401.0,331.0,276.0
28,22,392,321,19,20,401.0,330.5,294.0
29,22,392,321,19,19,401.0,330.0,276.0
30,22,392,321,19,19,401.0,330.0,276.0
31,22,392,321,19,19,401.0,330.0,276.0
32,22,392,321,19,19,401.0,330.0,276.0
33,22,392,321,19,19,401.0,330.0,276.0
34,22,392,321,19,19,401.0,330.0,276.0
35,22,392,321,19,19,401.0,330.0,276.0
36,22,419,323,19,20,428.0,332.5,294.0
37,22,420,324,19,19,429.0,333.0,276.0
38,22,420,324,19,19,429.0,333.0,276.0
39,22,420,324,19,19,429.0,333.0,276.0
40,22,420,323,19,19,429.0,332.0,276.0
41,22,420,323,19,19,429.0,332.0,276.0
42,22,421,317,19,19,430.0,326.0,276.0
43,22,421,317,19,19,430.0,326.0,276.0
44,22,421,317,19,19,430.0,326.0,276.0
45,22,424,310,19,19,433.0,319.0,276.0
46,22,424,309,19,19,433.0,318.0,276.0
47,22,423,297,19,19,432.0,306.0,276.0
48,22,423,297,19,19,432.0,306.0,276.0
49,22,423,297,19,19,432.0,306.0,276.0
50,22,423,297,19,19,432.0,306.0,276.0
51,22,417,291,19,19,426.0,300.0,276.0
52,22,417,291,19,19,426.0,300.0,276.0
53,22,412,304,19,20,421.0,313.5,294.0
54,22,426,312,19,19,435.0,321.0,276.0
55,22,426,312,19,19,435.0,321.0,276.0
56,22,433,319,20,20,442.40086439762285,328.5991356023771,308.5
57,22,434,320,19,19,443.0,329.0,276.0
58,22,432,319,20,20,441.5,328.5,304.0
59,22,427,317,19,19,436.0,326.0,276.0
60,22,423,308,19,19,432.0,317.0,276.0
61,22,424,310,19,19,433.0,319.0,276.0
62,22,424,310,19,19,433.0,319.0,276.0
63,22,423,310,20,20,432.59913560237703,319.40086439762285,308.5
64,22,439,328,19,20,448.0,337.5,294.0
65,22,439,330,19,20,448.0,339.5,294.0
66,22,439,333,19,19,448.0,342.0,276.0
67,22,427,339,19,19,436.0,348.0,276.0
68,22,417,347,19,19,426.0,356.0,276.0
69,22,412,341,19,19,421.0,350.0,276.0
70,22,412,340,19,20,421.0,349.5,294.0
71,22,409,334,19,19,418.0,343.0,276.0
72,22,409,334,19,19,418.0,343.0,276.0
73,22,409,334,19,19,418.0,343.0,276.0
74,22,406,333,19,19,415.0,342.0,276.0
75,22,406,333,19,19,415.0,342.0,276.0
76,22,406,333,19,19,415.0,342.0,276.0
77,22,401,327,20,19,410.5,336.0,294.0
78,22,402,327,19,19,411.0,336.0,276.0
79,22,402,327,19,19,411.0,336.0,276.0
80,22,397,325,19,19,406.0,334.0,276.0
81,22,409,323,20,19,418.5,332.0,294.0
82,22,410,323,19,19,419.0,332.0,276.0
83,22,428,323,19,19,437.0,332.0,276.0
0,9,240,332,19,19,249.0,341.0,276.0
1,9,243,337,19,19,252.0,346.0,276.0
2,9,232,330,19,19,241.0,339.0,276.0
3,9,232,330,20,19,241.5,339.0,294.0
4,9,233,330,19,19,242.0,339.0,276.0
5,9,236,332,20,19,245.5,341.0,294.0
6,9,233,337,19,19,242.0,346.0,276.0
7,9,233,337,19,19,242.0,346.0,276.0
8,9,237,316,19,19,246.0,325.0,276.0
9,9,237,316,19,19,246.0,325.0,276.0
10,9,237,316,19,19,246.0,325.0,276.0
11,9,237,316,19,19,246.0,325.0,276.0
12,9,237,316,19,19,246.0,325.0,276.0
13,9,237,316,19,19,246.0,325.0,276.0
14,9,237,316,19,19,246.0,325.0,276.0
15,9,231,324,19,19,240.0,333.0,276.0
16,9,231,324,19,19,240.0,333.0,276.0
17,9,230,319,19,19,239.0,328.0,276.0
18,9,230,319,19,19,239.0,328.0,276.0
19,9,230,319,19,19,239.0,328.0,276.0
20,9,238,298,19,19,247.0,307.0,276.0
21,9,238,298,19,19,247.0,307.0,276.0
22,9,238,303,19,19,247.0,312.0,276.0
23,9,238,303,19,19,247.0,312.0,276.0
24,9,238,303,19,19,247.0,312.0,276.0
25,9,227,314,19,19,236.0,323.0,276.0
26,9,222,319,19,20,231.0,328.5,294.0
27,9,223,318,20,19,232.5,327.0,294.0
28,9,225,318,19,19,234.0,327.0,276.0
29,9,225,318,19,19,234.0,327.0,276.0
30,9,225,318,19,19,234.0,327.0,276.0
31,9,217,309,19,19,226.0,318.0,276.0
32,9,217,309,19,19,226.0,318.0,276.0
33,9,217,309,19,19,226.0,318.0,276.0
34,9,234,307,19,19,243.0,316.0,276.0
35,9,234,307,19,19,243.0,316.0,276.0
36,9,235,307,19,19,244.0,316.0,276.0
37,9,239,311,19,20,248.0,320.5,294.0
38,9,241,316,19,20,250.0,325.5,294.0
39,9,241,318,19,19,250.0,327.0,276.0
40,9,222,311,25,20,234.06852791878174,320.39086294416245,394.0
41,9,228,312,19,19,237.0,321.0,276.0
42,9,228,312,19,19,237.0,321.0,276.0
43,9,230,302,20,19,239.5,311.0,294.0
44,9,231,302,19,19,240.0,311.0,276.0
45,9,235,302,19,19,244.0,311.0,276.0
46,9,235,302,19,19,244.0,311.0,276.0
47,9,236,306,19,19,245.0,315.0,276.0
48,9,237,306,19,19,246.0,315.0,276.0
49,9,242,301,19,19,251.0,310.0,276.0
50,9,239,301,19,19,248.0,310.0,276.0
51,9,224,300,19,19,233.0,309.0,276.0
52,9,222,301,19,19,231.0,310.0,276.0
53,9,218,301,19,19,227.0,310.0,276.0
54,9,218,301,19,19,227.0,310.0,276.0
55,9,218,301,19,19,227.0,310.0,276.0
56,9,218,301,19,19,227.0,310.0,276.0
57,9,220,301,19,19,229.0,310.0,276.0
58,9,220,301,19,19,229.0,310.0,276.0
59,9,220,301,19,19,229.0,310.0,276.0
60,9,220,301,19,19,229.0,310.0,276.0
61,9,217,311,19,19,226.0,320.0,276.0
62,9,218,317,19,19,227.0,326.0,276.0
63,9,218,317,19,19,227.0,326.0,276.0
64,9,218,317,19,19,227.0,326.0,276.0
65,9,210,317,19,19,219.0,326.0,276.0
66,9,210,317,19,19,219.0,326.0,276.0
67,9,214,312,19,19,223.0,321.0,276.0
68,9,214,312,19,19,223.0,321.0,276.0
69,9,215,312,19,19,224.0,321.0,276.0
70,9,212,312,19,19,221.0,321.0,276.0
71,9,212,312,19,19,221.0,321.0,276.0
72,9,210,312,19,19,219.0,321.0,276.0
73,9,196,318,19,19,205.0,327.0,276.0
74,9,196,318,19,19,205.0,327.0,276.0
75,9,206,315,19,19,215.0,324.0,276.0
76,9,212,321,19,19,221.0,330.0,276.0
77,9,209,330,19,19,218.0,339.0,276.0
0,26,197,449,19,19,206.0,458.0,276.0
1,26,197,449,19,19,206.0,458.0,276.0
2,26,177,449,20,19,186.5,458.0,294.0
3,26,179,451,19,19,188.0,460.0,276.0
4,26,179,451,19,20,188.0,460.5,294.0
5,26,188,452,20,19,197.5,461.0,294.0
6,26,189,455,19,19,198.0,464.0,276.0
7,26,199,442,19,19,208.0,451.0,276.0
8,26,188,445,19,19,197.0,454.0,276.0
9,26,188,445,19,19,197.0,454.0,276.0
10,26,188,445,19,19,197.0,454.0,276.0
11,26,188,445,19,19,197.0,454.0,276.0
12,26,189,445,20,19,198.5,454.0,294.0
13,26,199,447,19,19,208.0,456.0,276.0
14,26,199,447,19,19,208.0,456.0,276.0
15,26,189,444,19,19,198.0,453.0,276.0
16,26,192,444,19,19,201.0,453.0,276.0
17,26,198,446,19,19,207.0,455.0,276.0
18,26,212,437,19,19,221.0,446.0,276.0
19,26,217,438,20,19,226.5,447.0,294.0
20,26,218,438,19,19,227.0,447.0,276.0
21,26,218,438,19,19,227.0,447.0,276.0
22,26,217,438,19,19,226.0,447.0,276.0
23,26,217,438,19,19,226.0,447.0,276.0
24,26,217,439,19,19,226.0,448.0,276.0
25,26,212,439,19,19,221.0,448.0,276.0
26,26,212,439,19,19,221.0,448.0,276.0
27,26,215,453,9,9,219.0,457.0,56.0
28,26,212,439,19,19,221.0,448.0,276.0
29,26,210,440,19,19,219.0,449.0,276.0
30,26,210,440,19,19,219.0,449.0,276.0
31,26,210,440,19,19,219.0,449.0,276.0
32,26,210,440,19,19,219.0,449.0,276.0
33,26,210,440,19,19,219.0,449.0,276.0
34,26,210,440,19,19,219.0,449.0,276.0
35,26,210,440,19,19,219.0,449.0,276.0
36,26,210,440,19,19,219.0,449.0,276.0
37,26,210,440,19,19,219.0,449.0,276.0
38,26,210,440,19,19,219.0,449.0,276.0
39,26,195,444,19,19,204.0,453.0,276.0
40,26,182,444,19,19,191.0,453.0,276.0
41,26,182,444,19,19,191.0,453.0,276.0
42,26,174,444,19,19,183.0,453.0,276.0
43,26,171,444,19,19,180.0,453.0,276.0
44,26,167,444,19,19,176.0,453.0,276.0
45,26,167,444,19,19,176.0,453.0,276.0
46,26,167,444,19,19,176.0,453.0,276.0
47,26,167,444,19,19,176.0,453.0,276.0
48,26,170,432,19,19,179.0,441.0,276.0
49,26,170,432,19,19,179.0,441.0,276.0
50,26,154,433,19,19,163.0,442.0,276.0
51,26,154,434,19,22,163.0,444.5,330.0
52,26,154,437,19,19,163.0,446.0,276.0
53,26,154,440,19,19,163.0,449.0,276.0
54,26,153,441,19,19,162.0,450.0,276.0
55,26,153,447,19,19,162.0,456.0,276.0
56,26,139,450,19,19,148.0,459.0,276.0
57,26,137,447,19,19,146.0,456.0,276.0
58,26,132,443,19,19,141.0,452.0,276.0
59,26,132,443,19,19,141.0,452.0,276.0
60,26,128,443,19,19,137.0,452.0,276.0
61,26,127,443,19,19,136.0,452.0,276.0
62,26,127,443,19,19,136.0,452.0,276.0
63,26,127,443,19,19,136.0,452.0,276.0
64,26,127,443,19,19,136.0,452.0,276.0
65,26,127,443,19,19,136.0,452.0,276.0
66,26,117,442,19,19,126.0,451.0,276.0
67,26,115,450,19,19,124.0,459.0,276.0
68,26,118,454,19,19,127.0,463.0,276.0
69,26,118,454,19,19,127.0,463.0,276.0
70,26,140,451,19,19,149.0,460.0,276.0
71,26,135,453,19,19,144.0,462.0,276.0
72,26,117,453,19,19,126.0,462.0,276.0
73,26,108,453,19,19,117.0,462.0,276.0
0,18,380,160,19,19,389.0,169.0,276.0
1,18,380,160,19,19,389.0,169.0,276.0
2,18,380,160,19,19,389.0,169.0,276.0
3,18,380,160,19,19,389.0,169.0,276.0
4,18,380,160,19,19,389.0,169.0,276.0
5,18,380,160,19,19,389.0,169.0,276.0
6,18,380,160,19,19,389.0,169.0,276.0
7,18,380,160,19,19,389.0,169.0,276.0
8,18,380,160,20,19,389.5,169.0,294.0
9,18,381,160,19,19,390.0,169.0,276.0
10,18,382,157,19,19,391.0,166.0,276.0
11,18,382,157,19,19,391.0,166.0,276.0
12,18,384,154,19,19,393.0,163.0,276.0
13,18,384,154,19,19,393.0,163.0,276.0
14,18,385,154,19,19,394.0,163.0,276.0
15,18,387,153,19,19,396.0,162.0,276.0
16,18,391,147,19,19,400.0,156.0,276.0
17,18,393,146,19,19,402.0,155.0,276.0
18,18,403,144,19,19,412.0,153.0,276.0
19,18,403,144,19,19,412.0,153.0,276.0
20,18,403,144,19,19,412.0,153.0,276.0
21,18,403,143,19,20,412.0,152.5,294.0
22,18,403,143,19,19,412.0,152.0,276.0
23,18,403,143,19,19,412.0,152.0,276.0
24,18,403,143,19,19,412.0,152.0,276.0
25,18,403,143,19,19,412.0,152.0,276.0
26,18,403,143,19,19,412.0,152.0,276.0
27,18,403,142,19,20,412.0,151.5,294.0
28,18,403,142,19,19,412.0,151.0,276.0
29,18,403,142,19,19,412.0,151.0,276.0
30,18,403,142,19,19,412.0,151.0,276.0
31,18,403,142,19,19,412.0,151.0,276.0
32,18,403,142,19,19,412.0,151.0,276.0
33,18,403,142,19,19,412.0,151.0,276.0
34,18,403,142,19,19,412.0,151.0,276.0
35,18,403,142,19,19,412.0,151.0,276.0
36,18,403,142,19,19,412.0,151.0,276.0
37,18,403,142,19,19,412.0,151.0,276.0
38,18,403,142,19,19,412.0,151.0,276.0
39,18,403,142,19,19,412.0,151.0,276.0
40,18,403,143,19,19,412.0,152.0,276.0
41,18,403,143,19,19,412.0,152.0,276.0
42,18,411,146,19,19,420.0,155.0,276.0
43,18,411,146,19,19,420.0,155.0,276.0
44,18,418,139,19,19,427.0,148.0,276.0
45,18,421,135,19,19,430.0,144.0,276.0
46,18,421,135,19,19,430.0,144.0,276.0
47,18,425,132,19,19,434.0,141.0,276.0
48,18,425,131,19,19,434.0,140.0,276.0
49,18,423,126,19,19,432.0,135.0,276.0
50,18,423,126,19,19,432.0,135.0,276.0
51,18,423,125,19,19,432.0,134.0,276.0
52,18,426,115,19,19,435.0,124.0,276.0
53,18,426,115,19,19,435.0,124.0,276.0
54,18,426,115,19,19,435.0,124.0,276.0
55,18,426,115,19,19,435.0,124.0,276.0
56,18,416,129,19,19,425.0,138.0,276.0
57,18,412,132,19,19,421.0,141.0,276.0
58,18,406,126,19,19,415.0,135.0,276.0
59,18,406,107,19,19,415.0,116.0,276.0
26,44,83,50,19,19,92.0,59.0,276.0
27,44,83,50,19,19,92.0,59.0,276.0
28,44,83,50,19,19,92.0,59.0,276.0
29,44,83,50,19,20,92.0,59.5,294.0
30,44,83,51,19,19,92.0,60.0,276.0
31,44,83,51,19,19,92.0,60.0,276.0
32,44,83,51,19,19,92.0,60.0,276.0
33,44,83,51,19,19,92.0,60.0,276.0
34,44,83,51,19,19,92.0,60.0,276.0
35,44,83,51,19,19,92.0,60.0,276.0
36,44,83,51,19,19,92.0,60.0,276.0
37,44,83,51,19,19,92.0,60.0,276.0
38,44,83,51,19,19,92.0,60.0,276.0
39,44,83,51,19,19,92.0,60.0,276.0
40,44,83,51,19,19,92.0,60.0,276.0
41,44,83,51,19,19,92.0,60.0,276.0
42,44,83,51,19,19,92.0,60.0,276.0
43,44,83,51,19,19,92.0,60.0,276.0
