frame,labels_present,labels_tracked,labels_missing,missing_ids
0,10,10,0,
1,11,11,0,
2,11,11,0,
3,10,10,0,
4,10,10,0,
5,10,10,0,
6,10,10,0,
7,10,10,0,
8,10,10,0,
9,10,10,0,
10,10,10,0,
11,10,10,0,
12,10,10,0,
13,10,10,0,
14,10,10,0,
15,10,10,0,
16,10,10,0,
17,10,10,0,
18,10,10,0,
19,10,10,0,
20,10,10,0,
21,10,10,0,
22,10,10,0,
23,10,10,0,
24,10,10,0,
25,10,10,0,
26,11,11,0,
27,11,11,0,
28,10,10,0,
29,10,10,0,
30,10,10,0,
31,10,10,0,
32,11,11,0,
33,11,11,0,
34,10,10,0,
35,11,11,0,
36,11,11,0,
37,11,11,0,
38,11,11,0,
39,11,11,0,
40,11,11,0,
41,11,11,0,
42,11,11,0,
43,11,11,0,
44,11,11,0,
45,11,11,0,
46,12,12,0,
47,12,12,0,
48,12,12,0,
49,13,13,0,
50,13,13,0,
51,13,13,0,
52,13,13,0,
53,13,13,0,
54,14,14,0,
55,14,14,0,
56,14,14,0,
57,14,14,0,
58,14,14,0,
59,14,14,0,
60,15,15,0,
61,15,15,0,
62,15,15,0,
63,15,15,0,
64,15,15,0,
65,15,15,0,
66,15,15,0,
67,15,15,0,
68,15,15,0,
69,16,16,0,
70,16,16,0,
71,16,16,0,
72,16,16,0,
73,15,15,0,
74,14,14,0,
75,14,14,0,
76,14,14,0,
77,14,14,0,
78,15,15,0,
79,15,15,0,
80,17,17,0,
81,17,17,0,
82,17,17,0,
83,17,17,0,
