track_id,frames_checked,centroid_identity_errors,large_step_jumps,max_step_px,median_step_px,large_step_threshold_px,passed
1,30,0,0,3.605551275463989,0.0,30.0,True
3,54,0,0,21.93171219946131,0.0,30.0,True
4,54,0,0,17.88854381999832,0.0,30.0,True
5,69,0,3,46.09772228646444,6.75,40.5,False
6,8,0,0,20.8806130178211,11.704699910719626,70.22819946431775,True
7,36,0,0,9.486832980505138,0.0,30.0,True
8,48,0,0,20.0,0.0,30.0,True
10,48,0,0,29.004310024546353,0.0,30.0,True
11,62,0,0,31.144823004794873,6.324555320336759,37.94733192202055,True
12,22,0,1,64.67031776634471,9.433981132056603,56.60388679233962,False
14,22,0,0,36.87817782917155,11.543396380615196,69.26037828369118,True
15,22,0,0,0.0,0.0,30.0,True
16,62,0,0,17.11724276862369,0.0,30.0,True
18,62,0,0,18.24828759089466,0.0,30.0,True
19,11,0,0,0.0,0.0,30.0,True
21,73,0,0,20.0,0.0,30.0,True
22,46,0,0,15.890248582070704,2.23606797749979,30.0,True
23,66,0,0,42.720018726587654,10.0,60.0,True
24,18,0,0,20.024984394500787,4.716990566028302,30.0,True
26,18,0,0,44.04543109109048,10.63014581273465,63.7808748764079,True
27,60,0,0,28.30194339616981,0.7071067811865476,30.0,True
28,24,0,0,18.788294228055936,0.0,30.0,True
30,24,0,0,25.298221281347036,1.0,30.0,True
32,64,0,0,25.0,0.0,30.0,True
34,34,0,0,19.924858845171276,4.47213595499958,30.0,True
35,4,0,0,16.1245154965971,6.324555320336759,37.94733192202055,True
36,20,0,0,11.0,1.0,30.0,True
38,5,0,0,16.1245154965971,11.519202405202648,69.11521443121589,True
39,19,0,0,14.035668847618199,7.0710678118654755,42.42640687119285,True
40,7,0,0,12.649110640673518,4.549509756796392,30.0,True
41,2,0,0,13.152946437965905,13.152946437965905,78.91767862779542,True
42,1,0,0,0.0,0.0,30.0,True
43,1,0,0,0.0,0.0,30.0,True
44,1,0,0,0.0,0.0,30.0,True
52,1,0,0,0.0,0.0,30.0,True
54,8,0,0,27.073972741361768,8.0,48.0,True
55,1,0,0,0.0,0.0,30.0,True
56,13,0,0,42.720018726587654,10.531128874149275,63.18677324489565,True
