frame,track_id,x,y,w,h,centroid_x,centroid_y,area
11,21,226,394,21,21,236.0,404.0,342.0
12,21,224,386,21,21,234.0,396.0,342.0
13,21,221,381,21,21,231.0,391.0,342.0
14,21,228,378,21,21,238.0,388.0,342.0
15,21,237,380,22,22,247.6101545253863,390.38984547461365,377.5
16,21,241,383,23,22,252.02557544757033,393.4514066496164,391.0
17,21,249,384,21,21,259.0,394.0,342.0
18,21,249,384,21,21,259.0,394.0,342.0
19,21,249,384,21,21,259.0,394.0,342.0
20,21,249,384,21,21,259.0,394.0,342.0
21,21,249,384,21,22,259.0,394.5,362.0
22,21,249,386,21,21,259.0,396.0,342.0
23,21,249,386,21,21,259.0,396.0,342.0
24,21,251,389,22,22,261.5,399.5,372.0
25,21,252,390,21,21,262.0,400.0,342.0
26,21,252,390,21,21,262.0,400.0,342.0
27,21,252,390,21,21,262.0,400.0,342.0
28,21,252,390,21,21,262.0,400.0,342.0
29,21,252,390,21,21,262.0,400.0,342.0
30,21,252,390,22,21,262.5,400.0,362.0
31,21,253,390,21,21,263.0,400.0,342.0
32,21,273,390,21,21,283.0,400.0,342.0
33,21,260,389,21,21,270.0,399.0,342.0
34,21,260,389,21,21,270.0,399.0,342.0
35,21,255,393,21,21,265.0,403.0,342.0
36,21,255,393,21,21,265.0,403.0,342.0
37,21,255,393,21,21,265.0,403.0,342.0
38,21,255,393,21,21,265.0,403.0,342.0
39,21,268,402,21,21,278.0,412.0,342.0
40,21,268,402,21,21,278.0,412.0,342.0
41,21,266,399,21,21,276.0,409.0,342.0
42,21,266,399,21,21,276.0,409.0,342.0
43,21,266,399,21,21,276.0,409.0,342.0
44,21,266,399,21,21,276.0,409.0,342.0
45,21,266,399,22,21,276.5,409.0,362.0
46,21,267,399,21,21,277.0,409.0,342.0
47,21,274,400,21,21,284.0,410.0,342.0
48,21,274,400,21,21,284.0,410.0,342.0
49,21,274,400,21,21,284.0,410.0,342.0
50,21,274,400,21,21,284.0,410.0,342.0
51,21,274,400,21,21,284.0,410.0,342.0
52,21,274,400,21,21,284.0,410.0,342.0
53,21,274,400,21,21,284.0,410.0,342.0
54,21,274,400,21,21,284.0,410.0,342.0
55,21,274,400,21,21,284.0,410.0,342.0
56,21,275,400,21,21,285.0,410.0,342.0
57,21,278,400,24,21,289.5,410.0,402.0
58,21,281,400,21,21,291.0,410.0,342.0
59,21,281,400,21,21,291.0,410.0,342.0
60,21,281,400,21,21,291.0,410.0,342.0
61,21,281,400,21,21,291.0,410.0,342.0
62,21,281,400,21,21,291.0,410.0,342.0
63,21,281,400,21,21,291.0,410.0,342.0
64,21,281,400,21,21,291.0,410.0,342.0
65,21,281,400,21,21,291.0,410.0,342.0
66,21,282,414,21,21,292.0,424.0,342.0
67,21,282,414,21,21,292.0,424.0,342.0
68,21,282,414,21,21,292.0,424.0,342.0
69,21,282,428,21,21,292.0,438.0,342.0
70,21,282,428,21,21,292.0,438.0,342.0
71,21,282,428,21,21,292.0,438.0,342.0
72,21,282,428,21,21,292.0,438.0,342.0
73,21,282,428,21,21,292.0,438.0,342.0
74,21,282,428,21,21,292.0,438.0,342.0
75,21,282,428,21,21,292.0,438.0,342.0
76,21,282,428,21,21,292.0,438.0,342.0
77,21,282,428,21,21,292.0,438.0,342.0
78,21,282,428,21,21,292.0,438.0,342.0
79,21,282,428,21,21,292.0,438.0,342.0
80,21,282,428,21,21,292.0,438.0,342.0
81,21,282,428,21,21,292.0,438.0,342.0
82,21,281,437,21,21,291.0,447.0,342.0
83,21,273,443,21,21,283.0,453.0,342.0
0,23,287,308,23,23,298.0,319.0,404.0
1,23,312,314,23,23,323.0,325.0,404.0
2,23,303,327,23,23,314.0,338.0,404.0
3,23,303,327,23,23,314.0,338.0,404.0
4,23,302,320,23,23,313.0,331.0,404.0
5,23,300,308,23,23,311.0,319.0,404.0
6,23,296,304,23,23,307.0,315.0,404.0
7,23,294,305,24,24,305.3811676082862,316.3811676082862,442.5
8,23,298,290,23,23,309.0,301.0,404.0
9,23,298,290,23,23,309.0,301.0,404.0
10,23,295,302,23,23,306.0,313.0,404.0
11,23,295,302,23,23,306.0,313.0,404.0
12,23,295,293,23,23,306.0,304.0,404.0
13,23,311,288,23,23,322.0,299.0,404.0
14,23,311,288,23,23,322.0,299.0,404.0
15,23,311,291,23,23,322.0,302.0,404.0
16,23,287,272,24,23,298.5,283.0,426.0
17,23,287,272,23,23,298.0,283.0,404.0
18,23,297,277,23,23,308.0,288.0,404.0
19,23,289,295,23,23,300.0,306.0,404.0
20,23,311,295,23,23,322.0,306.0,404.0
21,23,303,280,23,23,314.0,291.0,404.0
22,23,303,280,23,23,314.0,291.0,404.0
23,23,301,262,23,23,312.0,273.0,404.0
24,23,301,262,23,23,312.0,273.0,404.0
25,23,301,272,23,23,312.0,283.0,404.0
26,23,291,272,23,23,302.0,283.0,404.0
27,23,288,266,23,23,299.0,277.0,404.0
28,23,285,262,23,23,296.0,273.0,404.0
29,23,299,241,23,23,310.0,252.0,404.0
30,23,273,243,23,23,284.0,254.0,404.0
31,23,273,255,23,23,284.0,266.0,404.0
32,23,285,272,23,23,296.0,283.0,404.0
33,23,287,274,23,23,298.0,285.0,404.0
34,23,286,261,23,23,297.0,272.0,404.0
35,23,276,264,23,23,287.0,275.0,404.0
36,23,276,270,23,23,287.0,281.0,404.0
37,23,276,270,23,23,287.0,281.0,404.0
38,23,276,270,23,23,287.0,281.0,404.0
39,23,284,279,23,23,295.0,290.0,404.0
40,23,286,279,23,23,297.0,290.0,404.0
41,23,295,280,23,23,306.0,291.0,404.0
42,23,309,270,23,23,320.0,281.0,404.0
43,23,294,285,23,23,305.0,296.0,404.0
44,23,294,285,23,23,305.0,296.0,404.0
45,23,294,285,23,23,305.0,296.0,404.0
46,23,303,276,23,23,314.0,287.0,404.0
47,23,305,269,23,23,316.0,280.0,404.0
48,23,300,272,23,23,311.0,283.0,404.0
49,23,300,273,23,23,311.0,284.0,404.0
50,23,300,273,23,23,311.0,284.0,404.0
51,23,301,275,23,23,312.0,286.0,404.0
52,23,301,275,23,23,312.0,286.0,404.0
53,23,285,304,23,23,296.0,315.0,404.0
54,23,295,294,23,23,306.0,305.0,404.0
55,23,296,267,23,23,307.0,278.0,404.0
56,23,299,275,23,23,310.0,286.0,404.0
57,23,320,308,23,23,331.0,319.0,404.0
58,23,313,295,23,23,324.0,306.0,404.0
59,23,277,272,23,23,288.0,283.0,404.0
60,23,288,281,23,23,299.0,292.0,404.0
61,23,298,281,23,23,309.0,292.0,404.0
62,23,313,274,23,23,324.0,285.0,404.0
63,23,313,274,23,23,324.0,285.0,404.0
64,23,309,278,23,23,320.0,289.0,404.0
65,23,299,300,23,23,310.0,311.0,404.0
0,32,273,43,23,23,284.0,54.0,404.0
1,32,273,43,23,23,284.0,54.0,404.0
2,32,268,41,23,23,279.0,52.0,404.0
3,32,268,41,23,23,279.0,52.0,404.0
4,32,267,41,23,23,278.0,52.0,404.0
5,32,267,41,23,23,278.0,52.0,404.0
6,32,250,39,23,23,261.0,50.0,404.0
7,32,250,39,23,23,261.0,50.0,404.0
8,32,250,39,23,23,261.0,50.0,404.0
9,32,250,39,23,23,261.0,50.0,404.0
10,32,259,40,23,23,270.0,51.0,404.0
11,32,259,40,23,23,270.0,51.0,404.0
12,32,259,40,23,23,270.0,51.0,404.0
13,32,259,40,23,23,270.0,51.0,404.0
14,32,259,40,23,23,270.0,51.0,404.0
15,32,265,40,23,23,276.0,51.0,404.0
16,32,265,40,23,23,276.0,51.0,404.0
17,32,265,40,23,23,276.0,51.0,404.0
18,32,265,40,23,23,276.0,51.0,404.0
