TrackID,Cell_Type,Frame,Time_min,X_um,Y_um,X_displacement_um,Y_displacement_um,Step_Distance_um,Cumulative_Distance_um,Displacement_um,Velocity_um_min,Step_Angle_deg
6,Cell,0,0.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,1,1.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,2,2.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,3,3.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,4,4.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,5,5.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,6,6.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,7,7.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,8,8.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,9,9.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,10,10.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,11,11.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,12,12.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,13,13.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,14,14.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,15,15.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,16,16.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,17,17.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,18,18.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,19,19.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,20,20.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,21,21.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,22,22.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,23,23.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,24,24.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,25,25.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,26,26.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,27,27.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cell,28,28.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
